"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15902","TC011 - Valid credentials navigate away from login page","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","4637","Login button is visible and clickable","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","5903","Login button submits with keyboard Enter key as well","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","3638","has title","firefox","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","5059","Email field rejects empty value (HTML5 required validation)","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","12096","TC012 - Invalid credentials show error message","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","4198","Clicking login with invalid credentials shows an error message","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","6603","TC003 - Login page returns HTTP 200 status","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","8112","TC004 - Email field is visible and enabled","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","4690","Login button is visible and clickable","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","8574","TC003 - Login page returns HTTP 200 status","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","8692","Login button submits with keyboard Enter key as well","webkit","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","login.spec.ts","",""
"","11741","TC009 - Empty email prevents form submission","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","3835","Login form section is visible on the page","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","1554","has title","chromium","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","6557","TC007 - User can type into the password field","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","3769","TC007 - User can type into the password field","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","enter_credentials.spec.ts","",""
"","6775","Login page loads and title is correct","firefox","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","4017","TC002 - Login form heading is visible on the page","webkit","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","open_login_page.spec.ts","",""
"","3138","Login URL is reachable (HTTP 200)","chromium","2026-05-19","passed","2026-05-19","SCRUM-5 | User can open login page","login.spec.ts","",""
"","2931","User can fill both email and password fields","webkit","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","3735","User can type into the password field","firefox","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
"","8020","TC013 - Pressing Enter on password field submits the form","chromium","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","1775","get started link","chromium","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","15530","TC010 - Login button is visible and enabled","firefox","2026-05-19","passed","2026-05-19","SCRUM-7 | User can click login button","click_login_button.spec.ts","",""
"","3198","User can type into the password field","chromium","2026-05-19","passed","2026-05-19","SCRUM-6 | User can enter email and password","login.spec.ts","",""
